Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Hillcrest Village,43.6816953,-79.4257118,McDonald's,43.68175823904737,-79.42694977578196,Fast Food Restaurant
Hillcrest Village,43.6816953,-79.4257118,TTC 512 St. Clair Streetcar,43.681480807696914,-79.42697413359402,Moving Target
Hillcrest Village,43.6816953,-79.4257118,Chuck & Co.,43.68175,-79.425295,Burger Joint
Hillcrest Village,43.6816953,-79.4257118,Christie & St. Clair,43.68163801900727,-79.42568812093815,Intersection
Hillcrest Village,43.6816953,-79.4257118,Salvation Army Thrift Store,43.681848909583216,-79.42501061650167,Thrift / Vintage Store
Hillcrest Village,43.6816953,-79.4257118,Jugo Juice,43.683015,-79.427568,Juice Bar
Hillcrest Village,43.6816953,-79.4257118,St.Clair West At ARLINGTON,43.68113228474074,-79.42849644161883,Light Rail Station
Hillcrest Village,43.6816953,-79.4257118,Humewood Park,43.68381549369613,-79.42579162536636,Playground
Hillcrest Village,43.6816953,-79.4257118,Wychwood Barns Community Gallery,43.67938613334865,-79.4242537010372,Art Gallery
Hillcrest Village,43.6816953,-79.4257118,Social Dance Spot,43.68300607584768,-79.4294581756021,Dance Studio
Hillcrest Village,43.6816953,-79.4257118,Hone Fitness,43.68247979910551,-79.42159990333198,Gym / Fitness Center
Hillcrest Village,43.6816953,-79.4257118,Fruits Market,43.68269418733994,-79.42053839476495,Fruit & Vegetable Store
Hillcrest Village,43.6816953,-79.4257118,Chamsine,43.682865,-79.420153,Middle Eastern Restaurant
"Fairview, Henry Farm, Oriole",43.7695089,-79.354296,Havenbrook Park,43.76808775388712,-79.35562133789062,Park
"Fairview, Henry Farm, Oriole",43.7695089,-79.354296,Henry Farm Community Tennis Club,43.76766937219664,-79.35773491859435,Tennis Court
"Fairview, Henry Farm, Oriole",43.7695089,-79.354296,Canadian Immigration Lawyers,43.7722404208697,-79.35225248336792,Lawyer
"Fairview, Henry Farm, Oriole",43.7695089,-79.354296,Don Mills Rd & Parkway Forest Dr.,43.76867580295433,-79.34889887025959,Intersection
Bayview Village,43.7691966,-79.3766617,Taro's Fish,43.76996164341515,-79.37465906198047,Fish Market
Bayview Village,43.7691966,-79.3766617,Shatter Abbas,43.769997628351945,-79.37443439177133,Persian Restaurant
Bayview Village,43.7691966,-79.3766617,Mountain Equipment Co-op,43.76987684570399,-79.37511694519891,Outdoor Supply Store
Bayview Village,43.7691966,-79.3766617,MEC,43.76989364818691,-79.37516454175586,Sporting Goods Shop
Bayview Village,43.7691966,-79.3766617,Sunshine Spot,43.770162103240736,-79.37477798821956,Breakfast Spot
Bayview Village,43.7691966,-79.3766617,RBC Royal Bank,43.76769517008107,-79.38227852004049,Bank
Bayview Village,43.7691966,-79.3766617,Shell,43.76973986,-79.37631764,Gas Station
Bayview Village,43.7691966,-79.3766617,McDonald's,43.769855,-79.3706242,Fast Food Restaurant
Bayview Village,43.7691966,-79.3766617,TD Canada Trust,43.7698523,-79.3713749,Bank
Bayview Village,43.7691966,-79.3766617,Subway,43.7701119,-79.3745923,Sandwich Place
Bayview Village,43.7691966,-79.3766617,Pizza Pizza,43.76977203092848,-79.37554445505702,Pizza Place
"York Mills, Silver Hills",43.75263075,-79.3875194,The Durdy Bayramov Art Foundation,43.7554353,-79.3852939,Music Venue
"York Mills, Silver Hills",43.75263075,-79.3875194,York mills arena,43.74934641710679,-79.38441628620687,Hockey Field
"Willowdale, Newtonbrook",43.77874775,-79.4120065,Buk Chang Dong Soon Tofu 북창동 순두부 돌솥밥,43.777219274357755,-79.41486067859734,Korean Restaurant
"Willowdale, Newtonbrook",43.77874775,-79.4120065,The Alley,43.776359,-79.414384,Bubble Tea Shop
"Willowdale, Newtonbrook",43.77874775,-79.4120065,Pastel Creperie & Dessert House,43.77621893353755,-79.41464769653886,Creperie
"Willowdale, Newtonbrook",43.77874775,-79.4120065,Chatime,43.778259726562766,-79.4153380393982,Bubble Tea Shop
"Willowdale, Newtonbrook",43.77874775,-79.4120065,Sansotei Ramen 三草亭,43.77670850946814,-79.41392739650291,Ramen Restaurant
"Willowdale, Newtonbrook",43.77874775,-79.4120065,Pyung Won House,43.779386308496164,-79.41551064596432,Korean Restaurant
"Willowdale, Newtonbrook",43.77874775,-79.4120065,Pizza Shab,43.77662520025942,-79.41420078277588,Pizza Place
"Willowdale, Newtonbrook",43.77874775,-79.4120065,Sushi Bong,43.775428055109685,-79.41365367892402,Sushi Restaurant
"Willowdale, Newtonbrook",43.77874775,-79.4120065,Charcoal & Salt 숯과 소금,43.77838235992638,-79.41523956493873,Korean Restaurant
"Willowdale, Newtonbrook",43.77874775,-79.4120065,Easy Drink Easy Go,43.776292092262004,-79.41440463066101,Bubble Tea Shop
"Willowdale, Newtonbrook",43.77874775,-79.4120065,Roll.com,43.775288006642036,-79.41425610888591,Korean Restaurant
"Willowdale, Newtonbrook",43.77874775,-79.4120065,Sweet O'Clock 芋尚道,43.77752612864565,-79.41492757843857,Dessert Shop
"Willowdale, Newtonbrook",43.77874775,-79.4120065,Gong Cha 貢茶,43.77731465045197,-79.41470503807068,Bubble Tea Shop
"Willowdale, Newtonbrook",43.77874775,-79.4120065,Lim Ga Ne 임가네,43.778352684061865,-79.41500008106232,Korean Restaurant
"Willowdale, Newtonbrook",43.77874775,-79.4120065,Burrito Place,43.781257794964446,-79.41580077815041,Burrito Place
"Willowdale, Newtonbrook",43.77874775,-79.4120065,Wild Wing,43.778012455210906,-79.41488414031369,Wings Joint
"Willowdale, Newtonbrook",43.77874775,-79.4120065,Sang-Ji Fried Bao,43.776573,-79.41442,Dumpling Restaurant
"Willowdale, Newtonbrook",43.77874775,-79.4120065,Toronto a la Cart - Korean,43.78056324457225,-79.41580061252955,Food Stand
